time,open,high,low,close,Volume,VWAP,VWAP_Upper1,VWAP_Lower1,VWAP_Upper2,VWAP_Lower2,EMA_8,EMA_20,EMA_50,EMA_200,ATR_14,RVOL,VIX,NQ,RTY,US10Y,DXY
1771866420,6852.5,6852.75,6849,6850,2069,6880.749179024097,6904.66953029787,6856.828827750325,6928.589881571642,6832.908476476553,6850.68675691404,6851.068195542692,6852.199967653599,6869.049352999482,3.733574713517673,0.7706920956567087,21.22,24740.25,2610.3,4.025,97.567
1771866480,6849.75,6853,6849.25,6851.5,1905,6880.7019619922785,6904.6318253031895,6856.772098681367,6928.561688614101,6832.842235370456,6850.867477599809,6851.109319776721,6852.172517941693,6868.874732571627,3.7347479482664103,0.7228641356935511,21.18,24746.5,2611.1,4.029,97.551
1771866540,6851.5,6851.75,6848.5,6850,1947,6880.6513904551775,6904.593930207795,6856.70885070256,6928.536469960412,6832.766310949943,6850.6747047998515,6851.003670274176,6852.087321159665,6868.686924287332,3.7001230948188097,0.7650895944671486,21.22,24741.75,2609.8,4.029,97.578
1771866600,6850,6851,6848.75,6850.25,1821,6880.604626749809,6904.558393331212,6856.650860168405,6928.512159912614,6832.697093587003,6850.5803259554405,6850.931892152827,6852.015269349483,6868.503472304374,3.5965428737603236,0.742765076581078,21.21,24742.75,2609.3,4.025,97.586
1771866660,6850.25,6852,6847.75,6850.5,2049,6880.552611618417,6904.518310753312,6856.586912483523,6928.484009888206,6832.621213348629,6850.562475743121,6850.890759566843,6851.955847022052,6868.32433327647,3.6432183827774436,0.8760153911928175,21.25,24743.25,2610.3,4.025,97.585
1771866720,6850,6850.75,6847.75,6847.75,1882,6880.50063669466,6904.482857110143,6856.518416279177,6928.465077525627,6832.536195863693,6849.937481133538,6850.591639608097,6851.790911844716,6868.119613542375,3.597274212579055,0.8152833131173106,21.24,24738,2609,4.029,97.607
1771866780,6848,6850,6847.25,6847.75,1652,6880.455149202095,6904.451727029376,6856.458571374813,6928.448304856658,6832.461993547531,6849.451374214974,6850.321007264468,6851.63244471355,6867.91693082056,3.536754625966265,0.731556106633602,21.27,24736.25,2609.7,4.029,97.614
1771866840,6847.75,6848.5,6845,6847,3241,6880.364236946074,6904.391391754324,6856.337082137824,6928.418546562575,6832.309927329573,6848.906624389424,6850.004720858328,6851.45078021498,6867.708802155679,3.5341292955401036,1.3989726766521347,21.35,24733.25,2609.2,4.029,97.614
1771866900,6847,6849.75,6846.75,6848,2078,6880.307946417062,6904.3520455877515,6856.263847246373,6928.396144758442,6832.219748075683,6848.705152302885,6849.813795062297,6851.315455500667,6867.512694671543,3.4959772030015244,0.9048355141407763,21.28,24738.5,2609.8,4.029,97.614
1771866960,6848,6851,6846.5,6850.5,1750,6880.264349191305,6904.317847672259,6856.210850710351,6928.3713461532125,6832.1573522293975,6849.104007346688,6849.879147913507,6851.283476853582,6867.3434141275475,3.5676931170728436,0.7709420912354898,21.24,24752,2610.5,4.029,97.613
1771867020,6850.5,6851.75,6848.75,6850.75,2098,6880.212687740803,6904.276772040484,6856.148603441122,6928.3408563401645,6832.084519141441,6849.469783491869,6849.962086207459,6851.262556192657,6867.1783055292635,3.5271436087104973,0.9286678618064316,21.26,24751.75,2611.2,4.029,97.604
1771867080,6850.75,6852.25,6849.75,6851.5,1694,6880.172164722133,6904.24340822659,6856.100921217676,6928.314651731047,6832.029677713219,6849.920942715898,6850.108554187701,6851.271867714514,6867.022302489171,3.4537762080883185,0.7557102069950036,21.22,24755,2611.1,4.029,97.603
1771867140,6851.5,6851.75,6847.5,6847.5,1648,6880.127367222548,6904.212464828773,6856.042269616323,6928.297562434997,6831.9571720100985,6849.382955445698,6849.860120455539,6851.123951333552,6866.828050723109,3.51064933608201,0.7454652372551681,21.25,24738.5,2609.5,4.027,97.601
1771867200,6847.5,6849,6846.75,6848.75,1834,6880.079562333336,6904.17740115199,6855.981723514682,6928.275239970644,6831.883884696028,6849.2422986799875,6849.7543946978685,6851.030855202825,6866.648169621387,3.420602954933295,0.8692355087918858,21.3,24742.5,2610,4.027,97.608
1771867260,6848.75,6850.25,6848.5,6849.75,1388,6880.044631284861,6904.1505486214055,6855.938713948316,6928.256465957951,6831.83279661177,6849.3551211955455,6849.753976155214,6850.980625587027,6866.48002863013,3.3012741724380597,0.6789776201540907,21.28,24751.5,2610.6,4.027,97.608
1771867320,6849.75,6850.75,6847.5,6850.5,1131,6880.016930644315,6904.128505906046,6855.905355382584,6928.240081167777,6831.793780120853,6849.609538707647,6849.825026045194,6850.961777524791,6866.321023370128,3.2976117315496265,0.5708517350157729,21.31,24755.75,2610,4.029,97.629
1771867380,6850.25,6852,6848.25,6849.5,1520,6879.97852578512,6904.099200458259,6855.857851111981,6928.219875131397,6831.737176438843,6849.585196772614,6849.794071183747,6850.9044529159755,6866.153650003262,3.329925179296082,0.7732614335859999,21.23,24753.75,2609,4.029,97.635
